name,xmin,ymin,xmax,ymax,width,height,class
TCGA-02-0011-84,92,103,167,157,240,240,glioma
TCGA-02-0011-85,92,102,167,157,240,240,glioma
TCGA-02-0011-75,97,103,167,159,240,240,glioma
TCGA-02-0011-86,92,102,167,157,240,240,glioma
TCGA-02-0011-74,97,103,166,159,240,240,glioma
TCGA-02-0011-87,93,103,168,157,240,240,glioma
TCGA-02-0011-88,93,103,168,157,240,240,glioma
TCGA-02-0011-73,97,103,166,159,240,240,glioma
TCGA-02-0011-89,94,103,168,157,240,240,glioma
TCGA-02-0011-90,98,105,168,157,240,240,glioma
TCGA-02-0011-72,97,104,165,159,240,240,glioma
TCGA-02-0011-91,99,105,168,157,240,240,glioma
TCGA-02-0027-80,77,85,120,123,240,240,glioma
TCGA-02-0027-79,77,85,122,122,240,240,glioma
TCGA-02-0027-76,80,81,117,124,240,240,glioma
TCGA-02-0027-78,78,84,121,122,240,240,glioma
TCGA-02-0027-77,78,83,121,122,240,240,glioma
TCGA-02-0027-81,76,85,121,123,240,240,glioma
TCGA-02-0027-75,82,81,117,121,240,240,glioma
TCGA-02-0027-82,76,85,121,124,240,240,glioma
TCGA-02-0027-74,83,81,117,121,240,240,glioma
TCGA-02-0027-73,83,81,117,120,240,240,glioma
TCGA-02-0027-83,76,83,123,122,240,240,glioma
TCGA-02-0027-84,76,81,128,122,240,240,glioma
TCGA-02-0027-85,76,79,129,122,240,240,glioma
TCGA-02-0027-86,76,75,129,123,240,240,glioma
TCGA-02-0027-87,76,75,130,121,240,240,glioma
TCGA-02-0033-74,122,78,180,147,240,240,glioma
TCGA-02-0033-73,128,78,180,147,240,240,glioma
TCGA-02-0033-75,117,78,181,147,240,240,glioma
TCGA-02-0033-78,114,77,185,146,240,240,glioma
TCGA-02-0033-71,129,78,179,147,240,240,glioma
TCGA-02-0033-76,94,78,181,147,240,240,glioma
TCGA-02-0033-72,129,78,180,147,240,240,glioma
TCGA-02-0033-70,114,78,178,142,240,240,glioma
TCGA-02-0033-77,94,78,185,146,240,240,glioma
TCGA-02-0033-79,113,76,186,145,240,240,glioma
TCGA-02-0033-69,129,78,177,141,240,240,glioma
TCGA-02-0033-80,113,76,186,145,240,240,glioma
TCGA-02-0033-81,112,76,186,144,240,240,glioma
TCGA-02-0033-82,112,76,186,143,240,240,glioma
TCGA-02-0033-68,130,78,176,139,240,240,glioma
TCGA-02-0033-67,130,78,175,138,240,240,glioma
TCGA-02-0033-83,112,76,186,142,240,240,glioma
TCGA-02-0033-84,110,76,186,148,240,240,glioma
TCGA-02-0033-85,110,77,187,148,240,240,glioma
TCGA-02-0033-66,130,78,174,138,240,240,glioma
TCGA-02-0034-71,72,129,133,175,240,240,glioma
TCGA-02-0034-70,73,129,132,175,240,240,glioma
TCGA-02-0034-69,75,130,132,174,240,240,glioma
TCGA-02-0034-72,71,129,135,175,240,240,glioma
TCGA-02-0034-73,70,129,136,175,240,240,glioma
TCGA-02-0034-68,76,130,131,173,240,240,glioma
TCGA-02-0034-74,65,128,136,176,240,240,glioma
TCGA-02-0034-67,78,131,131,173,240,240,glioma
TCGA-02-0034-75,63,128,137,176,240,240,glioma
TCGA-02-0034-76,62,127,137,176,240,240,glioma
TCGA-02-0034-66,82,138,129,173,240,240,glioma
TCGA-02-0034-77,62,127,138,176,240,240,glioma
TCGA-02-0034-65,84,139,125,172,240,240,glioma
TCGA-02-0034-78,61,127,138,177,240,240,glioma
TCGA-02-0034-79,61,127,139,177,240,240,glioma
TCGA-02-0034-64,85,139,123,171,240,240,glioma
TCGA-02-0034-80,61,126,139,177,240,240,glioma
TCGA-02-0034-81,60,115,139,177,240,240,glioma
TCGA-02-0037-72,121,73,193,113,240,240,glioma
TCGA-02-0037-71,121,73,193,113,240,240,glioma
TCGA-02-0037-73,119,72,193,115,240,240,glioma
TCGA-02-0037-70,121,72,191,111,240,240,glioma
TCGA-02-0037-69,121,72,191,110,240,240,glioma
TCGA-02-0037-77,115,71,196,121,240,240,glioma
TCGA-02-0037-78,115,71,196,122,240,240,glioma
TCGA-02-0037-74,120,71,194,115,240,240,glioma
TCGA-02-0037-75,120,70,195,115,240,240,glioma
TCGA-02-0037-76,119,70,196,119,240,240,glioma
TCGA-02-0037-79,114,69,196,122,240,240,glioma
TCGA-02-0037-68,121,72,190,108,240,240,glioma
TCGA-02-0037-80,114,66,195,124,240,240,glioma
TCGA-02-0037-67,121,73,191,107,240,240,glioma
TCGA-02-0037-66,121,73,191,106,240,240,glioma
TCGA-02-0037-81,113,65,195,122,240,240,glioma
TCGA-02-0037-65,121,74,190,106,240,240,glioma
TCGA-02-0037-82,113,64,196,123,240,240,glioma
TCGA-02-0037-83,114,60,195,123,240,240,glioma
TCGA-02-0037-84,114,60,195,122,240,240,glioma
TCGA-02-0046-73,107,124,198,180,240,240,glioma
TCGA-02-0046-75,112,123,197,179,240,240,glioma
TCGA-02-0046-74,108,124,198,180,240,240,glioma
TCGA-02-0046-72,105,124,199,179,240,240,glioma
TCGA-02-0046-71,103,125,199,179,240,240,glioma
TCGA-02-0046-76,112,122,196,179,240,240,glioma
TCGA-02-0046-70,103,125,199,179,240,240,glioma
TCGA-02-0046-69,102,126,200,179,240,240,glioma
TCGA-02-0046-77,112,121,194,178,240,240,glioma
TCGA-02-0046-68,102,126,200,179,240,240,glioma
TCGA-02-0046-67,102,85,200,179,240,240,glioma
TCGA-02-0046-78,109,121,193,177,240,240,glioma
TCGA-02-0046-79,104,121,192,174,240,240,glioma
TCGA-02-0046-66,102,85,200,179,240,240,glioma
TCGA-02-0046-65,102,85,200,179,240,240,glioma
TCGA-02-0046-80,104,121,191,173,240,240,glioma
TCGA-02-0046-81,104,121,190,172,240,240,glioma
TCGA-02-0046-64,103,87,200,179,240,240,glioma
TCGA-02-0046-82,104,121,188,170,240,240,glioma
TCGA-02-0046-63,105,87,200,179,240,240,glioma
TCGA-02-0047-73,80,53,184,117,240,240,glioma
TCGA-02-0047-72,81,53,183,116,240,240,glioma
TCGA-02-0047-74,81,54,185,117,240,240,glioma
TCGA-02-0047-75,81,54,186,117,240,240,glioma
TCGA-02-0047-76,80,54,186,117,240,240,glioma
TCGA-02-0047-71,81,53,182,116,240,240,glioma
TCGA-02-0047-77,81,55,187,117,240,240,glioma
TCGA-02-0047-78,81,55,187,117,240,240,glioma
TCGA-02-0047-79,82,55,187,117,240,240,glioma
TCGA-02-0047-70,81,53,182,116,240,240,glioma
TCGA-02-0047-80,83,55,187,118,240,240,glioma
TCGA-02-0047-69,81,53,182,116,240,240,glioma
TCGA-02-0047-81,83,55,187,119,240,240,glioma
TCGA-02-0047-82,83,55,187,119,240,240,glioma
TCGA-02-0047-68,80,53,181,124,240,240,glioma
TCGA-02-0047-83,84,56,188,119,240,240,glioma
TCGA-02-0047-84,84,56,188,119,240,240,glioma
TCGA-02-0047-67,80,53,180,124,240,240,glioma
TCGA-02-0047-85,85,56,188,122,240,240,glioma
TCGA-02-0047-86,85,56,189,122,240,240,glioma
TCGA-02-0054-87,102,115,154,166,240,240,glioma
TCGA-02-0054-88,103,115,153,162,240,240,glioma
TCGA-02-0054-86,101,137,155,168,240,240,glioma
TCGA-02-0054-89,103,115,153,162,240,240,glioma
TCGA-02-0054-85,101,131,155,169,240,240,glioma
TCGA-02-0054-84,100,130,154,170,240,240,glioma
TCGA-02-0054-83,100,129,153,170,240,240,glioma
TCGA-02-0054-82,91,118,153,171,240,240,glioma
TCGA-02-0054-81,99,128,153,171,240,240,glioma
TCGA-02-0054-80,99,127,152,171,240,240,glioma
TCGA-02-0054-79,99,124,152,172,240,240,glioma
TCGA-02-0054-78,99,117,162,172,240,240,glioma
TCGA-02-0054-77,98,124,151,172,240,240,glioma
TCGA-02-0054-76,97,122,151,172,240,240,glioma
TCGA-02-0054-75,92,120,151,173,240,240,glioma
TCGA-02-0059-84,110,57,197,115,240,240,glioma
TCGA-02-0059-85,109,57,200,114,240,240,glioma
TCGA-02-0059-82,112,57,195,115,240,240,glioma
TCGA-02-0059-83,112,57,196,115,240,240,glioma
TCGA-02-0059-81,116,57,194,114,240,240,glioma
TCGA-02-0059-86,109,58,203,114,240,240,glioma
TCGA-02-0059-80,117,57,192,113,240,240,glioma
TCGA-02-0059-79,117,56,192,112,240,240,glioma
TCGA-02-0059-77,117,56,191,114,240,240,glioma
TCGA-02-0059-78,117,56,192,112,240,240,glioma
TCGA-02-0059-87,109,57,199,114,240,240,glioma
TCGA-02-0059-76,118,55,191,112,240,240,glioma
TCGA-02-0059-88,109,57,199,115,240,240,glioma
TCGA-02-0059-75,118,55,191,114,240,240,glioma
TCGA-02-0059-89,109,57,197,116,240,240,glioma
TCGA-02-0059-74,118,55,190,112,240,240,glioma
TCGA-02-0059-90,109,57,200,116,240,240,glioma
TCGA-02-0059-73,118,55,191,111,240,240,glioma
TCGA-02-0059-91,109,57,201,116,240,240,glioma
TCGA-02-0059-92,102,57,201,116,240,240,glioma
TCGA-02-0064-69,128,140,171,175,240,240,glioma
TCGA-02-0064-68,127,140,172,174,240,240,glioma
TCGA-02-0064-67,126,140,173,175,240,240,glioma
TCGA-02-0064-70,129,140,170,174,240,240,glioma
TCGA-02-0064-71,130,140,170,172,240,240,glioma
TCGA-02-0064-66,125,139,176,174,240,240,glioma
TCGA-02-0064-72,131,140,169,171,240,240,glioma
TCGA-02-0064-65,125,139,176,184,240,240,glioma
TCGA-02-0064-73,132,141,167,169,240,240,glioma
TCGA-02-0064-74,132,141,166,168,240,240,glioma
TCGA-02-0064-64,125,139,175,176,240,240,glioma
TCGA-02-0064-63,124,138,174,176,240,240,glioma
TCGA-02-0064-62,123,138,175,177,240,240,glioma
TCGA-02-0064-61,122,137,175,177,240,240,glioma
TCGA-02-0064-60,122,135,175,178,240,240,glioma
TCGA-02-0068-75,125,137,179,181,240,240,glioma
TCGA-02-0068-74,124,137,186,182,240,240,glioma
TCGA-02-0068-76,126,137,179,181,240,240,glioma
TCGA-02-0068-73,123,137,186,182,240,240,glioma
TCGA-02-0068-77,128,138,179,177,240,240,glioma
TCGA-02-0068-72,120,138,188,182,240,240,glioma
TCGA-02-0068-78,132,139,177,177,240,240,glioma
TCGA-02-0068-71,118,137,188,182,240,240,glioma
TCGA-02-0068-70,117,135,188,183,240,240,glioma
TCGA-02-0068-79,132,139,176,176,240,240,glioma
TCGA-02-0068-69,116,135,189,183,240,240,glioma
TCGA-02-0068-80,133,140,178,173,240,240,glioma
TCGA-02-0068-68,114,135,189,183,240,240,glioma
TCGA-02-0068-81,137,142,176,171,240,240,glioma
TCGA-02-0068-67,113,135,188,183,240,240,glioma
TCGA-02-0068-66,112,135,185,183,240,240,glioma
TCGA-02-0068-82,138,144,176,171,240,240,glioma
TCGA-02-0068-65,111,136,180,184,240,240,glioma
TCGA-02-0068-64,111,136,181,184,240,240,glioma
TCGA-02-0069-78,62,73,137,135,240,240,glioma
TCGA-02-0069-80,62,73,136,135,240,240,glioma
TCGA-02-0069-77,62,74,136,135,240,240,glioma
TCGA-02-0069-79,62,73,137,135,240,240,glioma
TCGA-02-0069-81,62,72,135,136,240,240,glioma
TCGA-02-0069-76,62,75,135,134,240,240,glioma
TCGA-02-0069-82,62,69,137,136,240,240,glioma
TCGA-02-0069-75,63,75,135,134,240,240,glioma
TCGA-02-0069-83,61,70,138,136,240,240,glioma
TCGA-02-0069-84,61,70,138,136,240,240,glioma
TCGA-02-0069-74,63,79,134,133,240,240,glioma
TCGA-02-0069-73,64,80,133,133,240,240,glioma
TCGA-02-0069-85,61,70,140,136,240,240,glioma
TCGA-02-0069-86,62,67,144,136,240,240,glioma
TCGA-02-0069-72,64,81,133,132,240,240,glioma
TCGA-02-0069-71,66,82,133,131,240,240,glioma
TCGA-02-0069-87,62,68,144,136,240,240,glioma
TCGA-02-0069-88,62,68,144,136,240,240,glioma
TCGA-02-0069-70,67,81,133,131,240,240,glioma
TCGA-02-0069-69,69,82,133,130,240,240,glioma
TCGA-02-0075-81,96,129,184,182,240,240,glioma
TCGA-02-0075-82,96,129,183,182,240,240,glioma
TCGA-02-0075-80,96,130,178,183,240,240,glioma
TCGA-02-0075-83,97,129,184,182,240,240,glioma
TCGA-02-0075-79,98,130,177,182,240,240,glioma
TCGA-02-0075-84,97,129,184,183,240,240,glioma
TCGA-02-0075-85,98,128,184,183,240,240,glioma
TCGA-02-0075-78,97,130,177,182,240,240,glioma
TCGA-02-0075-86,97,128,186,182,240,240,glioma
TCGA-02-0075-87,97,128,186,182,240,240,glioma
TCGA-02-0075-77,97,131,175,183,240,240,glioma
TCGA-02-0075-88,97,129,185,182,240,240,glioma
TCGA-02-0075-89,97,129,185,182,240,240,glioma
TCGA-02-0075-76,97,131,174,183,240,240,glioma
TCGA-02-0075-90,98,130,186,181,240,240,glioma
TCGA-02-0075-75,98,131,172,183,240,240,glioma
TCGA-02-0075-91,98,129,186,181,240,240,glioma
TCGA-02-0075-92,99,129,186,180,240,240,glioma
TCGA-02-0075-74,98,132,171,183,240,240,glioma
TCGA-02-0075-93,99,129,186,180,240,240,glioma
TCGA-02-0085-77,76,124,136,172,240,240,glioma
TCGA-02-0085-79,73,124,137,172,240,240,glioma
TCGA-02-0085-78,74,124,137,172,240,240,glioma
TCGA-02-0085-80,73,124,138,172,240,240,glioma
TCGA-02-0085-81,73,124,138,172,240,240,glioma
TCGA-02-0085-76,79,125,136,172,240,240,glioma
TCGA-02-0085-82,72,124,139,173,240,240,glioma
TCGA-02-0085-75,79,125,135,172,240,240,glioma
TCGA-02-0085-83,72,123,139,173,240,240,glioma
TCGA-02-0085-84,71,123,139,173,240,240,glioma
TCGA-02-0085-85,71,124,145,173,240,240,glioma
TCGA-02-0085-74,89,126,135,172,240,240,glioma
TCGA-02-0085-73,91,126,134,171,240,240,glioma
TCGA-02-0085-86,71,124,147,173,240,240,glioma
TCGA-02-0085-87,71,125,147,173,240,240,glioma
TCGA-02-0085-88,71,124,148,173,240,240,glioma
TCGA-02-0085-72,91,126,133,156,240,240,glioma
TCGA-02-0085-71,91,126,132,156,240,240,glioma
TCGA-02-0085-89,71,124,149,172,240,240,glioma
TCGA-02-0085-90,71,124,149,172,240,240,glioma
TCGA-02-0086-71,57,78,151,173,240,240,glioma
TCGA-02-0086-72,57,78,150,173,240,240,glioma
TCGA-02-0086-70,58,80,150,173,240,240,glioma
TCGA-02-0086-73,57,78,149,173,240,240,glioma
TCGA-02-0086-69,58,80,151,173,240,240,glioma
TCGA-02-0086-77,57,78,147,172,240,240,glioma
TCGA-02-0086-75,57,78,148,173,240,240,glioma
TCGA-02-0086-78,57,78,148,172,240,240,glioma
TCGA-02-0086-79,57,78,148,173,240,240,glioma
TCGA-02-0086-74,57,78,148,173,240,240,glioma
TCGA-02-0086-76,57,78,147,172,240,240,glioma
TCGA-02-0086-80,57,78,147,173,240,240,glioma
TCGA-02-0086-68,58,80,151,172,240,240,glioma
TCGA-02-0086-81,57,78,147,173,240,240,glioma
TCGA-02-0086-82,57,78,147,173,240,240,glioma
TCGA-02-0086-67,58,80,151,172,240,240,glioma
TCGA-02-0086-83,57,78,147,173,240,240,glioma
TCGA-02-0086-84,57,78,148,173,240,240,glioma
TCGA-02-0086-66,59,81,152,172,240,240,glioma
TCGA-02-0086-85,57,77,147,173,240,240,glioma
TCGA-02-0087-76,104,68,134,98,240,240,glioma
TCGA-02-0087-77,104,68,135,99,240,240,glioma
TCGA-02-0087-78,104,67,138,100,240,240,glioma
TCGA-02-0087-79,103,66,139,100,240,240,glioma
TCGA-02-0087-80,103,66,139,113,240,240,glioma
TCGA-02-0087-81,103,66,140,114,240,240,glioma
TCGA-02-0087-82,102,65,140,114,240,240,glioma
TCGA-02-0087-83,102,65,147,114,240,240,glioma
TCGA-02-0087-84,103,65,148,114,240,240,glioma
TCGA-02-0087-85,103,65,150,114,240,240,glioma
TCGA-02-0087-86,103,66,151,115,240,240,glioma
TCGA-02-0087-87,103,66,151,116,240,240,glioma
TCGA-02-0087-88,103,66,151,116,240,240,glioma
TCGA-02-0087-89,102,66,151,116,240,240,glioma
TCGA-02-0087-90,101,65,153,115,240,240,glioma
TCGA-02-0102-62,140,80,172,110,240,240,glioma
TCGA-02-0102-61,140,79,172,110,240,240,glioma
TCGA-02-0102-60,139,79,174,110,240,240,glioma
TCGA-02-0102-59,139,79,174,111,240,240,glioma
TCGA-02-0102-58,139,79,175,111,240,240,glioma
TCGA-02-0102-57,138,79,175,111,240,240,glioma
TCGA-02-0102-56,138,79,175,111,240,240,glioma
TCGA-02-0102-55,139,80,175,110,240,240,glioma
TCGA-02-0102-54,139,80,174,110,240,240,glioma
TCGA-02-0102-53,139,81,175,110,240,240,glioma
TCGA-02-0102-52,140,81,175,109,240,240,glioma
TCGA-02-0106-67,139,63,199,111,240,240,glioma
TCGA-02-0106-69,139,61,199,111,240,240,glioma
TCGA-02-0106-68,139,62,199,111,240,240,glioma
TCGA-02-0106-64,141,69,198,110,240,240,glioma
TCGA-02-0106-63,142,71,197,109,240,240,glioma
TCGA-02-0106-70,138,62,199,112,240,240,glioma
TCGA-02-0106-66,139,66,199,111,240,240,glioma
TCGA-02-0106-71,138,62,200,112,240,240,glioma
TCGA-02-0106-65,139,67,198,111,240,240,glioma
TCGA-02-0106-73,138,65,200,112,240,240,glioma
TCGA-02-0106-72,139,63,200,112,240,240,glioma
TCGA-02-0106-74,139,66,201,112,240,240,glioma
TCGA-02-0106-75,138,66,201,112,240,240,glioma
TCGA-02-0106-76,138,66,201,112,240,240,glioma
TCGA-02-0106-62,142,72,197,108,240,240,glioma
TCGA-02-0106-77,138,66,201,112,240,240,glioma
TCGA-02-0106-61,143,72,196,107,240,240,glioma
TCGA-02-0106-78,139,66,201,112,240,240,glioma
TCGA-02-0106-79,139,66,201,112,240,240,glioma
TCGA-02-0106-80,139,65,201,112,240,240,glioma
TCGA-02-0116-79,122,136,174,178,240,240,glioma
TCGA-02-0116-78,118,136,175,178,240,240,glioma
TCGA-02-0116-80,124,136,174,178,240,240,glioma
TCGA-02-0116-77,118,137,175,178,240,240,glioma
TCGA-02-0116-74,117,138,175,179,240,240,glioma
TCGA-02-0116-73,117,137,175,177,240,240,glioma
TCGA-02-0116-76,118,138,175,178,240,240,glioma
TCGA-02-0116-75,118,138,175,178,240,240,glioma
TCGA-02-0116-81,126,137,173,177,240,240,glioma
TCGA-02-0116-72,116,137,175,178,240,240,glioma
TCGA-02-0116-82,126,137,171,177,240,240,glioma
TCGA-02-0116-71,115,137,175,178,240,240,glioma
TCGA-02-0116-83,127,137,172,177,240,240,glioma
TCGA-02-0116-70,115,137,175,180,240,240,glioma
TCGA-02-0116-69,114,138,175,178,240,240,glioma
TCGA-02-0116-84,129,136,171,176,240,240,glioma
TCGA-02-0116-85,133,136,171,176,240,240,glioma
TCGA-06-0119-77,81,62,186,120,240,240,glioma
TCGA-06-0119-76,81,61,182,120,240,240,glioma
TCGA-06-0119-75,82,59,185,119,240,240,glioma
TCGA-06-0119-71,83,55,187,113,240,240,glioma
TCGA-06-0119-78,81,63,183,115,240,240,glioma
TCGA-06-0119-73,82,57,185,111,240,240,glioma
TCGA-06-0119-74,82,57,184,120,240,240,glioma
TCGA-06-0119-79,81,59,186,108,240,240,glioma
TCGA-06-0119-72,83,56,183,112,240,240,glioma
TCGA-06-0119-80,80,58,184,109,240,240,glioma
TCGA-06-0119-70,84,55,186,114,240,240,glioma
TCGA-06-0119-69,91,54,187,115,240,240,glioma
TCGA-06-0119-81,80,58,184,117,240,240,glioma
TCGA-06-0119-82,77,57,184,117,240,240,glioma
TCGA-06-0119-68,91,53,188,116,240,240,glioma
TCGA-06-0119-83,70,58,187,117,240,240,glioma
TCGA-06-0119-67,91,52,190,116,240,240,glioma
TCGA-06-0119-84,70,58,185,116,240,240,glioma
TCGA-06-0119-85,70,59,185,116,240,240,glioma
TCGA-06-0119-66,87,51,187,117,240,240,glioma
TCGA-06-0122-80,146,120,205,162,240,240,glioma
TCGA-06-0122-81,146,120,205,161,240,240,glioma
TCGA-06-0122-82,147,120,205,161,240,240,glioma
TCGA-06-0122-79,145,120,205,163,240,240,glioma
TCGA-06-0122-78,144,119,206,163,240,240,glioma
TCGA-06-0122-77,144,119,206,164,240,240,glioma
TCGA-06-0122-83,146,119,205,160,240,240,glioma
TCGA-06-0122-84,146,119,204,161,240,240,glioma
TCGA-06-0122-76,144,119,206,164,240,240,glioma
TCGA-06-0122-75,143,119,206,165,240,240,glioma
TCGA-06-0122-85,147,119,204,161,240,240,glioma
TCGA-06-0122-86,147,120,204,162,240,240,glioma
TCGA-06-0122-74,143,119,207,165,240,240,glioma
TCGA-06-0122-73,143,119,206,166,240,240,glioma
TCGA-06-0122-87,147,120,203,162,240,240,glioma
TCGA-06-0122-72,143,119,207,166,240,240,glioma
TCGA-06-0122-88,147,119,202,162,240,240,glioma
TCGA-06-0122-71,141,119,207,167,240,240,glioma
TCGA-06-0122-89,147,119,200,162,240,240,glioma
TCGA-06-0122-70,140,119,206,167,240,240,glioma
TCGA-06-0130-74,86,133,128,167,240,240,glioma
TCGA-06-0130-75,85,134,129,167,240,240,glioma
TCGA-06-0130-76,83,133,129,168,240,240,glioma
TCGA-06-0130-77,83,133,129,168,240,240,glioma
TCGA-06-0130-78,83,132,129,169,240,240,glioma
TCGA-06-0130-79,83,132,132,169,240,240,glioma
TCGA-06-0130-80,82,133,132,169,240,240,glioma
TCGA-06-0130-81,82,132,133,169,240,240,glioma
TCGA-06-0130-82,83,132,134,169,240,240,glioma
TCGA-06-0137-75,96,53,198,122,240,240,glioma
TCGA-06-0137-76,96,53,198,121,240,240,glioma
TCGA-06-0137-77,96,54,198,120,240,240,glioma
TCGA-06-0137-74,96,53,198,125,240,240,glioma
TCGA-06-0137-78,96,54,198,119,240,240,glioma
TCGA-06-0137-73,96,53,198,126,240,240,glioma
TCGA-06-0137-79,96,54,198,118,240,240,glioma
TCGA-06-0137-80,96,55,198,118,240,240,glioma
TCGA-06-0137-81,96,55,197,116,240,240,glioma
TCGA-06-0137-72,97,53,197,126,240,240,glioma
TCGA-06-0137-82,96,56,197,115,240,240,glioma
TCGA-06-0137-71,97,53,197,128,240,240,glioma
TCGA-06-0137-83,97,57,196,115,240,240,glioma
TCGA-06-0137-84,98,57,195,114,240,240,glioma
TCGA-06-0137-70,97,52,197,128,240,240,glioma
TCGA-06-0137-85,99,59,194,113,240,240,glioma
TCGA-06-0137-86,99,59,194,113,240,240,glioma
TCGA-06-0137-69,97,52,196,129,240,240,glioma
TCGA-06-0137-87,100,60,193,113,240,240,glioma
TCGA-06-0137-88,101,60,193,113,240,240,glioma
TCGA-06-0138-75,90,56,172,119,240,240,glioma
TCGA-06-0138-76,89,56,170,119,240,240,glioma
TCGA-06-0138-77,88,56,170,118,240,240,glioma
TCGA-06-0138-74,90,56,172,120,240,240,glioma
TCGA-06-0138-73,91,57,173,120,240,240,glioma
TCGA-06-0138-78,85,56,169,118,240,240,glioma
TCGA-06-0138-72,91,57,174,120,240,240,glioma
TCGA-06-0138-79,83,57,168,117,240,240,glioma
TCGA-06-0138-71,91,57,175,119,240,240,glioma
TCGA-06-0138-80,83,57,168,116,240,240,glioma
TCGA-06-0138-81,83,57,167,115,240,240,glioma
TCGA-06-0138-82,85,63,166,114,240,240,glioma
TCGA-06-0138-70,91,56,176,120,240,240,glioma
TCGA-06-0138-83,85,61,165,113,240,240,glioma
TCGA-06-0138-69,91,56,176,120,240,240,glioma
TCGA-06-0138-84,87,57,164,111,240,240,glioma
TCGA-06-0138-68,91,55,177,122,240,240,glioma
TCGA-06-0138-85,88,57,164,111,240,240,glioma
TCGA-06-0138-67,91,53,177,122,240,240,glioma
TCGA-06-0138-86,88,57,163,113,240,240,glioma
TCGA-06-0139-75,81,119,181,167,240,240,glioma
TCGA-06-0139-73,82,119,182,167,240,240,glioma
TCGA-06-0139-74,82,119,181,167,240,240,glioma
TCGA-06-0139-76,80,119,181,166,240,240,glioma
TCGA-06-0139-72,83,119,182,167,240,240,glioma
TCGA-06-0139-71,84,119,183,163,240,240,glioma
TCGA-06-0139-77,80,120,181,166,240,240,glioma
TCGA-06-0139-78,80,121,180,166,240,240,glioma
TCGA-06-0139-70,146,119,183,152,240,240,glioma
TCGA-06-0139-79,80,121,180,166,240,240,glioma
TCGA-06-0139-69,146,119,183,153,240,240,glioma
TCGA-06-0139-80,79,123,179,166,240,240,glioma
TCGA-06-0139-81,79,124,178,166,240,240,glioma
TCGA-06-0139-68,144,119,184,153,240,240,glioma
TCGA-06-0139-82,78,128,178,168,240,240,glioma
TCGA-06-0139-67,143,113,184,154,240,240,glioma
TCGA-06-0139-83,78,128,168,168,240,240,glioma
TCGA-06-0139-84,78,128,168,167,240,240,glioma
TCGA-06-0139-66,142,112,185,155,240,240,glioma
TCGA-06-0139-85,77,128,109,167,240,240,glioma
TCGA-06-0142-78,61,123,183,180,240,240,glioma
TCGA-06-0142-77,61,122,184,180,240,240,glioma
TCGA-06-0142-79,61,123,182,181,240,240,glioma
TCGA-06-0142-80,61,125,181,181,240,240,glioma
TCGA-06-0142-76,64,122,185,181,240,240,glioma
TCGA-06-0142-75,66,122,186,181,240,240,glioma
TCGA-06-0142-74,67,122,187,180,240,240,glioma
TCGA-06-0142-81,61,127,181,180,240,240,glioma
TCGA-06-0142-73,64,123,187,179,240,240,glioma
TCGA-06-0142-72,64,123,187,176,240,240,glioma
TCGA-06-0142-82,61,128,181,180,240,240,glioma
TCGA-06-0142-71,70,124,187,176,240,240,glioma
TCGA-06-0142-83,61,128,179,179,240,240,glioma
TCGA-06-0142-70,71,125,187,176,240,240,glioma
TCGA-06-0142-84,81,128,178,179,240,240,glioma
TCGA-06-0142-69,71,125,189,177,240,240,glioma
TCGA-06-0142-85,80,128,177,178,240,240,glioma
